<esr1b.rk04.p01.mx2> info from state interface ethernet-1/* | as table | filter fields admin-state oper-state ethernet/port-speed transceiver/form-factor description
+------------+------------+------------+------------+------------+------------+
|    Name    |   Admin-   | Oper-state |  Ethernet  | Transceive | Descriptio |
|            |   state    |            | port-speed |  r form-   |     n      |
|            |            |            |            |   factor   |            |
+============+============+============+============+============+============+
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/1        |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/2        |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/3        |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/4        |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/5        |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/6        |            |            |            |            |            |
| ethernet-  | enable     | up         | 25G        | SFP28      | HARDWARE:  |
| 1/7        |            |            |            |            | ID: 45da6b |
|            |            |            |            |            | e1-24b7-   |
|            |            |            |            |            | 46c7-b0cf- |
|            |            |            |            |            | 4989332f26 |
|            |            |            |            |            | f9,        |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | server-    |
|            |            |            |            |            | 2f26f9.rk0 |
|            |            |            |            |            | 4.mx2.pack |
|            |            |            |            |            | et.net     |
| ethernet-  | enable     | up         | 25G        | SFP28      | HARDWARE:  |
| 1/8        |            |            |            |            | ID: 02847e |
|            |            |            |            |            | f2-bb27-   |
|            |            |            |            |            | 4feb-be4d- |
|            |            |            |            |            | 48621b19d3 |
|            |            |            |            |            | a1,        |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | server-    |
|            |            |            |            |            | 19d3a1.rk0 |
|            |            |            |            |            | 4.mx2.pack |
|            |            |            |            |            | et.net     |
| ethernet-  | enable     | up         | 25G        | SFP28      | HARDWARE:  |
| 1/9        |            |            |            |            | ID: 3e7e2d |
|            |            |            |            |            | c4-e4c7-   |
|            |            |            |            |            | 4a99-95fc- |
|            |            |            |            |            | d74669f48b |
|            |            |            |            |            | 73,        |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | server-    |
|            |            |            |            |            | f48b73.rk0 |
|            |            |            |            |            | 4.mx2.pack |
|            |            |            |            |            | et.net     |
| ethernet-  | enable     | up         | 25G        | SFP28      | HARDWARE:  |
| 1/10       |            |            |            |            | ID: c1271a |
|            |            |            |            |            | 46-78ae-   |
|            |            |            |            |            | 4560-ab79- |
|            |            |            |            |            | e6fd5ed7b4 |
|            |            |            |            |            | a2,        |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | server-    |
|            |            |            |            |            | d7b4a2.rk0 |
|            |            |            |            |            | 4.mx2.pack |
|            |            |            |            |            | et.net     |
| ethernet-  | enable     | up         | 25G        | SFP28      | HARDWARE:  |
| 1/11       |            |            |            |            | ID: c47cb2 |
|            |            |            |            |            | 6f-2715-   |
|            |            |            |            |            | 4467-9a8b- |
|            |            |            |            |            | 43f1ba3d5c |
|            |            |            |            |            | 35,        |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | server-    |
|            |            |            |            |            | 3d5c35.rk0 |
|            |            |            |            |            | 4.mx2.pack |
|            |            |            |            |            | et.net     |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/12       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/13       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/14       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/15       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/16       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/17       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/18       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/19       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/20       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/21       |            |            |            |            |            |
| ethernet-  | enable     | down       | 25G        |            |            |
| 1/22       |            |            |            |            |            |
| ethernet-  | enable     | up         | 25G        | SFP28      |            |
| 1/23       |            |            |            |            |            |
| ethernet-  | enable     | up         | 25G        | SFP28      |            |
| 1/24       |            |            |            |            |            |
| ethernet-  | enable     | up         | 25G        | SFP28      |            |
| 1/25       |            |            |            |            |            |
| ethernet-  | enable     | up         | 25G        | SFP28      |            |
| 1/26       |            |            |            |            |            |
| ethernet-  | enable     | up         | 25G        | SFP28      | HARDWARE:  |
| 1/27       |            |            |            |            | ID: c9f89a |
|            |            |            |            |            | b5-5f71-   |
|            |            |            |            |            | 4c48-8086- |
|            |            |            |            |            | cd0dd8181a |
|            |            |            |            |            | 3f,        |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | server-    |
|            |            |            |            |            | 181a3f.rk0 |
|            |            |            |            |            | 4.mx2.pack |
|            |            |            |            |            | et.net     |
| ethernet-  | enable     | up         | 25G        | SFP28      | CUST:      |
| 1/28       |            |            |            |            | Owner:     |
|            |            |            |            |            | Drew       |
|            |            |            |            |            | Raines,    |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | Tyler-     |
|            |            |            |            |            | test,      |
|            |            |            |            |            | Instance   |
|            |            |            |            |            | ID: 352ed9 |
|            |            |            |            |            | 72-b668-   |
|            |            |            |            |            | 4d68-b62f- |
|            |            |            |            |            | 0a9d9d6d1a |
|            |            |            |            |            | 22         |
| ethernet-  | enable     | up         | 25G        | SFP28      | HARDWARE:  |
| 1/29       |            |            |            |            | ID: 754d53 |
|            |            |            |            |            | c9-1c7b-   |
|            |            |            |            |            | 4a48-96a7- |
|            |            |            |            |            | 6b3236ed6a |
|            |            |            |            |            | 23,        |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | server-ed6 |
|            |            |            |            |            | a23.rk04.m |
|            |            |            |            |            | x2.packet. |
|            |            |            |            |            | net        |
| ethernet-  | enable     | up         | 25G        | SFP28      | CUST:      |
| 1/30       |            |            |            |            | Owner:     |
|            |            |            |            |            | Drew       |
|            |            |            |            |            | Raines,    |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | lg-        |
|            |            |            |            |            | frr1-mx2,  |
|            |            |            |            |            | Instance   |
|            |            |            |            |            | ID: d5be8a |
|            |            |            |            |            | 8a-c938-   |
|            |            |            |            |            | 4839-8a14- |
|            |            |            |            |            | 3741ba2080 |
|            |            |            |            |            | 2a         |
| ethernet-  | enable     | up         | 25G        | SFP28      | CUST:      |
| 1/31       |            |            |            |            | Owner:     |
|            |            |            |            |            | Jason Li,  |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | SDW-Host-  |
|            |            |            |            |            | GW-Mexico, |
|            |            |            |            |            | Instance   |
|            |            |            |            |            | ID: d258e2 |
|            |            |            |            |            | 00-c725-   |
|            |            |            |            |            | 48bf-be55- |
|            |            |            |            |            | 3adebc11ab |
|            |            |            |            |            | 35         |
| ethernet-  | enable     | up         | 25G        | SFP28      | CUST:      |
| 1/32       |            |            |            |            | Owner:     |
|            |            |            |            |            | Drew       |
|            |            |            |            |            | Raines,    |
|            |            |            |            |            | Hostname:  |
|            |            |            |            |            | cp01-mx2,  |
|            |            |            |            |            | Instance   |
|            |            |            |            |            | ID:        |
|            |            |            |            |            | 344a9bdc-d |
|            |            |            |            |            | b5d-4718-  |
