--------------------------------------------------------------------------------
IPv4 unicast route table of network instance default
--------------------------------------------------------------------------------
+------+------+------+------+------+------+------+------+------+------+
| Pref |  ID  | Rout | Rout | Acti | Orig | Metr | Pref | Next | Next |
|  ix  |      |  e   | e Ow |  ve  | in N |  ic  |      | -hop | -hop |
|      |      | Type | ner  |      | etwo |      |      | (Typ | Inte |
|      |      |      |      |      | rk I |      |      |  e)  | rfac |
|      |      |      |      |      | nsta |      |      |      |  e   |
|      |      |      |      |      | nce  |      |      |      |      |
+======+======+======+======+======+======+======+======+======+======+
| 0.0. | 0    | bgp  | bgp_ | True | defa | 0    | 170  | 10.2 | ethe |
| 0.0/ |      |      | mgr  |      | ult  |      |      | 53.2 | rnet |
| 0    |      |      |      |      |      |      |      | 0.6/ | -1/1 |
|      |      |      |      |      |      |      |      | 31 ( | .0 e |
|      |      |      |      |      |      |      |      | indi | ther |
|      |      |      |      |      |      |      |      | rect | net- |
|      |      |      |      |      |      |      |      | /loc | 1/2. |
|      |      |      |      |      |      |      |      | al)  | 0    |
|      |      |      |      |      |      |      |      | 10.2 |      |
|      |      |      |      |      |      |      |      | 53.2 |      |
|      |      |      |      |      |      |      |      | 0.18 |      |
|      |      |      |      |      |      |      |      | /31  |      |
|      |      |      |      |      |      |      |      | (ind |      |
|      |      |      |      |      |      |      |      | irec |      |
|      |      |      |      |      |      |      |      | t/lo |      |
|      |      |      |      |      |      |      |      | cal) |      |
| 10.5 | 0    | bgp  | bgp_ | True | defa | 0    | 170  | 10.2 | ethe |
| 2.1. |      |      | mgr  |      | ult  |      |      | 53.2 | rnet |
| 128/ |      |      |      |      |      |      |      | 0.40 | -1/5 |
| 31   |      |      |      |      |      |      |      | /31  | .0 e |
|      |      |      |      |      |      |      |      | (ind | ther |
|      |      |      |      |      |      |      |      | irec | net- |
|      |      |      |      |      |      |      |      | t/lo | 1/7. |
|      |      |      |      |      |      |      |      | cal) | 0 et |
|      |      |      |      |      |      |      |      | 10.2 | hern |
|      |      |      |      |      |      |      |      | 53.2 | et-1 |
|      |      |      |      |      |      |      |      | 0.44 | /6.0 |
|      |      |      |      |      |      |      |      | /31  | ethe |
|      |      |      |      |      |      |      |      | (ind | rnet |
|      |      |      |      |      |      |      |      | irec | -1/8 |
|      |      |      |      |      |      |      |      | t/lo | .0   |
|      |      |      |      |      |      |      |      | cal) |      |
|      |      |      |      |      |      |      |      | 10.2 |      |
|      |      |      |      |      |      |      |      | 53.2 |      |
|      |      |      |      |      |      |      |      | 0.42 |      |
|      |      |      |      |      |      |      |      | /31  |      |
|      |      |      |      |      |      |      |      | (ind |      |
|      |      |      |      |      |      |      |      | irec |      |
|      |      |      |      |      |      |      |      | t/lo |      |
|      |      |      |      |      |      |      |      | cal) |      |
|      |      |      |      |      |      |      |      | 10.2 |      |
|      |      |      |      |      |      |      |      | 53.2 |      |
|      |      |      |      |      |      |      |      | 0.46 |      |
|      |      |      |      |      |      |      |      | /31  |      |
|      |      |      |      |      |      |      |      | (ind |      |
|      |      |      |      |      |      |      |      | irec |      |
|      |      |      |      |      |      |      |      | t/lo |      |
|      |      |      |      |      |      |      |      | cal) |      |
| 10.5 | 0    | bgp  | bgp_ | True | defa | 0    | 170  | 10.2 | ethe |
| 2.2. |      |      | mgr  |      | ult  |      |      | 53.2 | rnet |
| 128/ |      |      |      |      |      |      |      | 0.40 | -1/5 |
| 31   |      |      |      |      |      |      |      | /31  | .0 e |
|      |      |      |      |      |      |      |      | (ind | ther |
|      |      |      |      |      |      |      |      | irec | net- |
|      |      |      |      |      |      |      |      | t/lo | 1/7. |
|      |      |      |      |      |      |      |      | cal) | 0 et |
|      |      |      |      |      |      |      |      | 10.2 | hern |
